www.facebook.com,6
www.whatsapp.com,9
www.twitter.com,52
www.tiktok.com,4
www.snapchat.com,35
www.instagram.com,16
www.pinterest.com,12
www.discretemath.com,54
www.linearalgebra.com,14
www.analysis.com,51
www.digitaldesign.com,16
www.digitaldesign2.com,1
www.computerarchitecture.com,1
www.computerengineering.com,5
www.CS.com,20
www.CS1.com,11
www.CS2.com,7
www.Calculus1.com,8
www.Calculus2.com,10
www.Calculus3.com,75
www.zara.com,24
www.H&M.com,61
www.Stradivarius.com,72
www.uber.com,23
www.Careem.com,67
www.Gobus.com,4
www.SWVL.com,5
www.programming.com,13
www.Guess.com,91
www.Bershka.com,112
,1
